"state","placefp14","sdsec14","stab","placefp","placenm","placenm14","sschlnm14","intptlon","intptlat","pop10","afact","AFACT2"
"State code","placefp14","sdsec14","State abbreviation","placefp","placenm","Place name 2014","Secondary school district name 2014","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","placefp14 to sdsec14 allocation factor","sdsec14 to placefp14 allocation factor"
"34","61680"," ","NJ"," "," ","Ramsey borough, NJ","34",-74.142673,41.058352,14473,1,0.019423 
"34","62910"," ","NJ"," "," ","Ridgefield borough, NJ","34",-74.001123,40.832247,11032,1,0.014805 
"34","62940"," ","NJ"," "," ","Ridgefield Park village, NJ","34",-74.022615,40.856228,12729,1,0.017082 
"34","63000"," ","NJ"," "," ","Ridgewood village, NJ","34",-74.112655,40.98211,24958,1,0.033493 
"34","63360","12260","NJ"," "," ","River Edge borough, NJ","River Dell Regional School District",-74.038616,40.926585,11340,1,0.587017 
"34","64170"," ","NJ"," "," ","Rockleigh borough, NJ","34",-73.932796,41.005158,531,1,0.000713 
"34","65280"," ","NJ"," "," ","Rutherford borough, NJ","34",-74.111394,40.828985,18061,1,0.024238 
"34","65400"," ","NJ"," "," ","Saddle River borough, NJ","34",-74.099504,41.029208,3152,1,0.00423 
"34","72420"," ","NJ"," "," ","Tenafly borough, NJ","34",-73.965287,40.922001,14488,1,0.019443 
"34","72480"," ","NJ"," "," ","Teterboro borough, NJ","34",-74.062638,40.856966,67,1,0.00009 
"34","75140","11730","NJ"," "," ","Upper Saddle River borough, NJ","Northern Highlands Regional School District",-74.098166,41.063582,8208,1,0.557874 
"34","76400"," ","NJ"," "," ","Waldwick borough, NJ","34",-74.123892,41.012992,9636,1,0.012931 
"34","76490"," ","NJ"," "," ","Wallington borough, NJ","34",-74.107588,40.853628,11335,1,0.015211 
"34","80270"," ","NJ"," "," ","Westwood borough, NJ","34",-74.032853,40.988426,10908,1,0.014638 
"34","82300","12510","NJ"," "," ","Woodcliff Lake borough, NJ","Pascack Valley Regional School District",-74.059857,41.025188,5730,1,0.17129 
"34","82570"," ","NJ"," "," ","Wood-Ridge borough, NJ","34",-74.087066,40.849064,7629,1,0.010238 
"34","99999"," ","NJ"," "," "," ","34",-74.081008,40.927267,116906,0.816097,0.156886 
"34","99999","12510","NJ"," "," "," ","Pascack Valley Regional School District",-74.009883,41.012046,9659,0.067428,0.288742 
"34","99999","13560","NJ"," "," "," ","Ramapo-Indian Hill Regional School District",-74.166048,40.997327,16685,0.116475,0.416823 
"36","01011"," ","NY"," "," ","Albertson CDP, NY","36",-73.648637,40.770684,5182,1,0.004749 
"36","02968"," ","NY"," "," ","Atlantic Beach village, NY","36",-73.73264,40.589018,1891,1,0.001733 
"36","04143"," ","NY"," "," ","Baldwin CDP, NY","36",-73.610712,40.663775,24033,1,0.022023 
"36","04154"," ","NY"," "," ","Baldwin Harbor CDP, NY","36",-73.604586,40.632834,8102,1,0.007424 
"36","04550"," ","NY"," "," ","Barnum Island CDP, NY","36",-73.648115,40.604059,2414,1,0.002212 
"36","04803"," ","NY"," "," ","Baxter Estates village, NY","36",-73.696378,40.834179,999,1,0.000915 
"36","04891"," ","NY"," "," ","Bay Park CDP, NY","36",-73.669305,40.632843,2212,1,0.002027 
"36","05034"," ","NY"," "," ","Bayville village, NY","36",-73.559936,40.907443,6669,1,0.006111 
"36","05639","26520","NY"," "," ","Bellerose village, NY","Sewanhaka Central High School District",-73.716763,40.724228,1193,1,0.010124 
"36","05661","26520","NY"," "," ","Bellerose Terrace CDP, NY","Sewanhaka Central High School District",-73.725018,40.722188,2198,1,0.018654 
"36","05738","19020","NY"," "," ","Bellmore CDP, NY","Bellmore-Merrick Central High School District",-73.529461,40.662289,16218,1,0.229577 
"36","06387"," ","NY"," "," ","Bethpage CDP, NY","36",-73.484284,40.749474,16429,1,0.015055 
"36","10132"," ","NY"," "," ","Brookville village, NY","36",-73.578657,40.815193,3465,1,0.003175 
"36","12419"," ","NY"," "," ","Carle Place CDP, NY","36",-73.611692,40.751283,4981,1,0.004564 
"36","13233"," ","NY"," "," ","Cedarhurst village, NY","36",-73.727619,40.625061,6592,1,0.006041 
"36","13618"," ","NY"," "," ","Centre Island village, NY","36",-73.522346,40.898496,410,1,0.000376 
"36","18597"," ","NY"," "," ","Cove Neck village, NY","36",-73.499857,40.882412,286,1,0.000262 
"36","21578"," ","NY"," "," ","East Atlantic Beach CDP, NY","36",-73.706501,40.587003,2049,1,0.001878 
"36","22065"," ","NY"," "," ","East Garden City CDP, NY","36",-73.600938,40.724466,6208,1,0.005689 
"36","22260"," ","NY"," "," ","East Hills village, NY","36",-73.628181,40.796487,6955,1,0.006373 
"36","22480"," ","NY"," "," ","East Massapequa CDP, NY","36",-73.435849,40.675493,19069,1,0.017474 
"36","22502"," ","NY"," "," ","East Meadow CDP, NY","36",-73.556068,40.715145,38132,1,0.034942 
"36","22623"," ","NY"," "," ","East Norwich CDP, NY","36",-73.531796,40.848977,2709,1,0.002482 
"36","22876"," ","NY"," "," ","East Rockaway village, NY","36",-73.666637,40.643476,9818,1,0.008997 
"36","23217"," ","NY"," "," ","East Williston village, NY","36",-73.634679,40.760044,2556,1,0.002342 
"36","24273","26520","NY"," "," ","Elmont CDP, NY","Sewanhaka Central High School District",-73.705728,40.702063,31455,0.947496,0.266945 
"36","24273","29520","NY"," "," ","Elmont CDP, NY","Valley Stream Central High School District",-73.694857,40.68923,1743,0.052503,0.029164 
"36","25384"," ","NY"," "," ","Farmingdale village, NY","36",-73.445359,40.732321,8189,1,0.007504 
"36","26264","26520","NY"," "," ","Floral Park village, NY","Sewanhaka Central High School District",-73.702973,40.722856,15863,1,0.134623 
"36","26352"," ","NY"," "," ","Flower Hill village, NY","36",-73.674524,40.805568,4665,1,0.004275 
"36","27309","26520","NY"," "," ","Franklin Square CDP, NY","Sewanhaka Central High School District",-73.677045,40.704293,23124,0.788676,0.196244 
"36","27309","29520","NY"," "," ","Franklin Square CDP, NY","Valley Stream Central High School District",-73.680844,40.688458,6196,0.211323,0.103673 
"36","27485"," ","NY"," "," ","Freeport village, NY","36",-73.586577,40.653724,42860,1,0.039275 
"36","28178"," ","NY"," "," ","Garden City village, NY","36",-73.64674,40.726543,22371,1,0.0205 
"36","28189"," ","NY"," "," ","Garden City Park CDP, NY","36",-73.663311,40.747807,3769,0.482834,0.003454 
"36","28189","26520","NY"," "," ","Garden City Park CDP, NY","Sewanhaka Central High School District",-73.667165,40.740496,4037,0.517166,0.03426 
"36","28200","26520","NY"," "," ","Garden City South CDP, NY","Sewanhaka Central High School District",-73.660784,40.712278,4024,1,0.03415 
"36","29113"," ","NY"," "," ","Glen Cove city, NY","36",-73.62838,40.865031,26964,1,0.024708 
"36","29245"," ","NY"," "," ","Glen Head CDP, NY","36",-73.619522,40.843034,4697,1,0.004304 
"36","29421"," ","NY"," "," ","Glenwood Landing CDP, NY","36",-73.635323,40.828464,3779,1,0.003463 
"36","30169"," ","NY"," "," ","Great Neck village, NY","36",-73.734023,40.803291,9979,1,0.009144 
"36","30191"," ","NY"," "," ","Great Neck Estates village, NY","36",-73.737769,40.786987,2761,1,0.00253 
"36","30202"," ","NY"," "," ","Great Neck Gardens CDP, NY","36",-73.72227,40.796938,1186,1,0.001087 
"36","30213"," ","NY"," "," ","Great Neck Plaza village, NY","36",-73.726248,40.786924,6707,1,0.006146 
"36","30598"," ","NY"," "," ","Greenvale CDP, NY","36",-73.625299,40.812313,1094,1,0.001002 
