"state","placefp14","county","cousubfp14","stab","cntyname","placefp","placenm","cousubnm14","placenm14","intptlon","intptlat","pop10","afact","AFACT2"
"State code","placefp14","County code","cousubfp14","State abbreviation","County name","placefp","placenm","County subdivision name 2014","Place name 2014","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","placefp14 to cousubfp14 allocation factor","cousubfp14 to placefp14 allocation factor"
"36","64232","36059","53000","NY","Nassau NY"," "," ","North Hempstead town","Russell Gardens village, NY",-73.724774,40.781528,945,1,0.004175 
"36","64430","36059","53000","NY","Nassau NY"," "," ","North Hempstead town","Saddle Rock village, NY",-73.749638,40.794279,830,1,0.003667 
"36","64441","36059","53000","NY","Nassau NY"," "," ","North Hempstead town","Saddle Rock Estates CDP, NY",-73.741617,40.793676,471,1,0.002081 
"36","64842","36059","34000","NY","Nassau NY"," "," ","Hempstead town","Salisbury CDP, NY",-73.559962,40.745163,12093,1,0.015917 
"36","65035","36059","53000","NY","Nassau NY"," "," ","North Hempstead town","Sands Point village, NY",-73.704395,40.851041,2675,1,0.011819 
"36","66047","36059","56000","NY","Nassau NY"," "," ","Oyster Bay town","Sea Cliff village, NY",-73.643599,40.845823,4995,1,0.017035 
"36","66058","36059","34000","NY","Nassau NY"," "," ","Hempstead town","Seaford CDP, NY",-73.49214,40.669467,15294,1,0.02013 
"36","66102","36059","53000","NY","Nassau NY"," "," ","North Hempstead town","Searingtown CDP, NY",-73.660097,40.770998,4915,1,0.021717 
"36","69001","36059","56000","NY","Nassau NY"," "," ","Oyster Bay town","South Farmingdale CDP, NY",-73.446409,40.717903,14486,1,0.049404 
"36","69023","36059","34000","NY","Nassau NY"," "," ","Hempstead town","South Floral Park village, NY",-73.700542,40.713503,1764,1,0.002322 
"36","69188","36059","34000","NY","Nassau NY"," "," ","Hempstead town","South Hempstead CDP, NY",-73.6212,40.682019,3243,1,0.004268 
"36","69892","36059","34000","NY","Nassau NY"," "," ","Hempstead town","South Valley Stream CDP, NY",-73.717917,40.654938,5962,1,0.007847 
"36","71267","36059","34000","NY","Nassau NY"," "," ","Hempstead town","Stewart Manor village, NY",-73.685427,40.719928,1896,1,0.002496 
"36","72554","36059","56000","NY","Nassau NY"," "," ","Oyster Bay town","Syosset CDP, NY",-73.500793,40.813305,18829,1,0.064216 
"36","73605","36059","53000","NY","Nassau NY"," "," ","North Hempstead town","Thomaston village, NY",-73.715874,40.786773,2617,1,0.011563 
"36","76089","36059","34000","NY","Nassau NY"," "," ","Hempstead town","Uniondale CDP, NY",-73.591916,40.701988,24759,1,0.032588 
"36","76287","36059","53000","NY","Nassau NY"," "," ","North Hempstead town","University Gardens CDP, NY",-73.729337,40.774218,4226,1,0.018672 
"36","76331","36059","56000","NY","Nassau NY"," "," ","Oyster Bay town","Upper Brookville village, NY",-73.566125,40.842886,1698,1,0.005791 
"36","76705","36059","34000","NY","Nassau NY"," "," ","Hempstead town","Valley Stream village, NY",-73.704691,40.664859,37511,1,0.049372 
"36","78146","36059","34000","NY","Nassau NY"," "," ","Hempstead town","Wantagh CDP, NY",-73.509917,40.675528,18871,1,0.024838 
"36","79444","36059","53000","NY","Nassau NY"," "," ","North Hempstead town","Westbury village, NY",-73.588733,40.758867,15040,1,0.066454 
"36","80225","36059","34000","NY","Nassau NY"," "," ","Hempstead town","West Hempstead CDP, NY",-73.652704,40.696742,18862,1,0.024826 
"36","82117","36059","53000","NY","Nassau NY"," "," ","North Hempstead town","Williston Park village, NY",-73.64671,40.759095,7287,1,0.032197 
"36","82744","36059","56000","NY","Nassau NY"," "," ","Oyster Bay town","Woodbury CDP, NY",-73.471045,40.815429,8907,1,0.030377 
"36","82942","36059","34000","NY","Nassau NY"," "," ","Hempstead town","Woodmere CDP, NY",-73.718833,40.636946,17121,1,0.022535 
"36","82986","36059","34000","NY","Nassau NY"," "," ","Hempstead town","Woodsburgh village, NY",-73.708384,40.624185,778,1,0.001024 
"36","99999","36059","53000","NY","Nassau NY"," "," ","North Hempstead town"," ",-73.699811,40.787042,642,0.61318,0.002837 
"36","99999","36059","56000","NY","Nassau NY"," "," ","Oyster Bay town"," ",-73.582136,40.902239,405,0.386819,0.001381 
