"state","placefp14","sduni14","stab","placefp","placenm","placenm14","uschlnm14","intptlon","intptlat","pop10","afact","AFACT2"
"State code","placefp14","sduni14","State abbreviation","placefp","placenm","Place name 2014","Unified school district name 2014","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","placefp14 to sduni14 allocation factor","sduni14 to placefp14 allocation factor"
"34","56130","12450","NJ"," "," ","Park Ridge borough, NJ","Park Ridge Borough School District",-74.039906,41.034828,8645,1,1 
"34","61680","13590","NJ"," "," ","Ramsey borough, NJ","Ramsey Borough School District",-74.142673,41.058352,14473,1,1 
"34","62910","13770","NJ"," "," ","Ridgefield borough, NJ","Ridgefield Borough School District",-74.001123,40.832247,11032,1,1 
"34","62940","13800","NJ"," "," ","Ridgefield Park village, NJ","Ridgefield Park Township School District",-74.022615,40.856228,12729,1,1 
"34","63000","13830","NJ"," "," ","Ridgewood village, NJ","Ridgewood Village School District",-74.112655,40.98211,24958,1,1 
"34","63360"," ","NJ"," "," ","River Edge borough, NJ","34",-74.038616,40.926585,11340,1,0.070896 
"34","64170","14160","NJ"," "," ","Rockleigh borough, NJ","Rockleigh Borough School District",-73.932796,41.005158,531,1,1 
"34","65280","14460","NJ"," "," ","Rutherford borough, NJ","Rutherford Borough School District",-74.111394,40.828985,18061,1,1 
"34","65400","14520","NJ"," "," ","Saddle River borough, NJ","Saddle River Borough School District",-74.099504,41.029208,3152,1,1 
"34","72420","16110","NJ"," "," ","Tenafly borough, NJ","Tenafly Borough School District",-73.965287,40.922001,14488,1,1 
"34","72480","06930","NJ"," "," ","Teterboro borough, NJ","Hasbrouck Heights Borough School District",-74.062638,40.856966,67,1,0.005627 
"34","75140"," ","NJ"," "," ","Upper Saddle River borough, NJ","34",-74.098166,41.063582,8208,1,0.051315 
"34","76400","16860","NJ"," "," ","Waldwick borough, NJ","Waldwick Borough School District",-74.123892,41.012992,9636,1,1 
"34","76490","16920","NJ"," "," ","Wallington borough, NJ","Wallington Borough School District",-74.107588,40.853628,11335,1,1 
"34","80270","17820","NJ"," "," ","Westwood borough, NJ","Westwood Regional School District",-74.032853,40.988426,10908,1,0.545127 
"34","82300"," ","NJ"," "," ","Woodcliff Lake borough, NJ","34",-74.059857,41.025188,5730,1,0.035823 
"34","82570","18300","NJ"," "," ","Wood-Ridge borough, NJ","Wood-Ridge Borough School District",-74.087066,40.849064,7629,1,1 
"34","99999"," ","NJ"," "," "," ","34",-74.10879,41.002724,26344,0.183902,0.164698 
"34","99999","09210","NJ"," "," "," ","Lyndhurst Township School District",-74.12341,40.809323,20554,0.143483,1 
"34","99999","09330","NJ"," "," "," ","Mahwah Township School District",-74.156767,41.076811,25890,0.180733,1 
"34","99999","14070","NJ"," "," "," ","Rochelle Park Township School District",-74.078614,40.90661,5530,0.038604,1 
"34","99999","14490","NJ"," "," "," ","Saddle Brook Township School District",-74.095835,40.904157,13659,0.095351,1 
"34","99999","15240","NJ"," "," "," ","South Hackensack Township School District",-74.046663,40.863122,2378,0.0166,1 
"34","99999","16080","NJ"," "," "," ","Teaneck Township School District",-74.011722,40.891461,39793,0.277787,1 
"34","99999","17820","NJ"," "," "," ","Westwood Regional School District",-74.060845,40.988767,9102,0.063539,0.454872 
"36","01011","14280","NY"," "," ","Albertson CDP, NY","Herricks Union Free School District",-73.652236,40.76807,2427,0.468352,0.098355 
"36","01011","19500","NY"," "," ","Albertson CDP, NY","Mineola Union Free School District",-73.645429,40.772511,2592,0.500193,0.110162 
"36","01011","25050","NY"," "," ","Albertson CDP, NY","Roslyn Union Free School District",-73.646045,40.780551,163,0.031455,0.009349 
"36","02968","16830","NY"," "," ","Atlantic Beach village, NY","Lawrence Union Free School District",-73.73264,40.589018,1891,1,0.053133 
"36","04143","03840","NY"," "," ","Baldwin CDP, NY","Baldwin Union Free School District",-73.610707,40.662871,22222,0.924645,0.676736 
"36","04143","21570","NY"," "," ","Baldwin CDP, NY","Oceanside Union Free School District",-73.618964,40.650494,367,0.015271,0.00996 
"36","04143","24780","NY"," "," ","Baldwin CDP, NY","Rockville Centre Union Free School District",-73.621504,40.672602,179,0.007448,0.00815 
"36","04143","24990","NY"," "," ","Baldwin CDP, NY","Roosevelt Union Free School District",-73.599643,40.681779,456,0.018974,0.025871 
"36","04143","29280","NY"," "," ","Baldwin CDP, NY","Uniondale Union Free School District",-73.610961,40.682537,809,0.033662,0.019245 
"36","04154","03840","NY"," "," ","Baldwin Harbor CDP, NY","Baldwin Union Free School District",-73.604586,40.632834,8102,1,0.246734 
"36","04550","15480","NY"," "," ","Barnum Island CDP, NY","Island Park Union Free School District",-73.648115,40.604059,2414,1,0.288411 
"36","04803","23580","NY"," "," ","Baxter Estates village, NY","Port Washington Union Free School District",-73.696378,40.834179,999,1,0.032152 
"36","04891","09960","NY"," "," ","Bay Park CDP, NY","East Rockaway Union Free School District",-73.669305,40.632843,2212,1,0.226477 
"36","05034","17700","NY"," "," ","Bayville village, NY","Locust Valley Central School District",-73.559936,40.907443,6669,1,0.426953 
"36","05639"," ","NY"," "," ","Bellerose village, NY","36",-73.716763,40.724228,1193,1,0.004806 
